Frame Rate:,29.9700299700
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
76,00:00:02.536,10.862413194444443,12.098315972222222,10.807291666666666,9.681631944444444
77,00:00:02.569,11.8934375,13.3465625,11.86671875,10.46703125
78,00:00:02.603,11.968906249999998,13.308246527777778,11.958559027777778,10.639913194444444
79,00:00:02.636,12.456828703703705,13.960104166666667,12.299305555555556,11.11107638888889
80,00:00:02.669,12.046336805555555,13.277065972222223,12.03375,10.828194444444444
81,00:00:02.703,11.88759837962963,13.35390625,11.610486111111111,10.698402777777778
82,00:00:02.736,11.832806712962963,13.028663194444444,11.809826388888888,10.659930555555556
83,00:00:02.769,11.829664351851852,13.176909722222222,11.567621527777778,10.744461805555556
84,00:00:02.803,11.679305555555556,12.932621527777778,11.487881944444444,10.617413194444444
85,00:00:02.836,11.316116898148147,12.334166666666667,11.115121527777777,10.4990625
86,00:00:02.870,11.146851851851851,12.209149305555556,10.954479166666667,10.276927083333334
87,00:00:02.903,11.00127314814815,11.649392361111111,11.091684027777777,10.262743055555555
88,00:00:02.936,10.577042824074072,11.055416666666666,10.665399305555555,10.0103125
89,00:00:02.970,10.808113425925926,11.631631944444445,10.769114583333334,10.02359375
90,00:00:03.003,10.404166666666667,10.900503472222223,10.62095486111111,9.691041666666667
91,00:00:03.036,10.998125,11.997100694444445,10.932239583333333,10.065034722222222
92,00:00:03.070,10.483622685185185,11.121284722222223,10.655138888888889,9.674444444444445
93,00:00:03.103,10.603547453703703,11.45701388888889,10.671284722222222,9.68234375
94,00:00:03.136,10.40064236111111,11.065625,10.47064236111111,9.665659722222221
95,00:00:03.170,11.010821759259258,11.743020833333333,11.120538194444444,10.16890625
96,00:00:03.203,10.811649305555555,11.303940972222222,11.005833333333333,10.12517361111111
97,00:00:03.237,11.236984953703704,12.00998263888889,11.231545138888889,10.469427083333333
98,00:00:03.270,10.969623842592592,11.525954861111112,11.100381944444445,10.282534722222222
99,00:00:03.303,11.229594907407408,11.861041666666667,11.334131944444444,10.493611111111111
100,00:00:03.337,10.729085648148148,11.235607638888888,10.894166666666667,10.057482638888889
101,00:00:03.370,11.34887152777778,12.031875,11.41328125,10.601458333333333
102,00:00:03.403,12.168559027777777,12.923159722222222,12.474288194444444,11.108229166666666
103,00:00:03.437,12.724496527777779,13.823940972222223,12.870538194444444,11.479010416666666
104,00:00:03.470,13.622216435185186,14.936545138888889,13.796111111111111,12.133993055555555
105,00:00:03.504,14.215758101851852,15.596961805555555,14.419913194444444,12.630399305555555
106,00:00:03.537,14.801568287037037,16.311840277777776,15.03920138888889,13.053663194444445
107,00:00:03.570,14.28130787037037,15.757065972222222,14.478559027777777,12.608298611111111
108,00:00:03.604,13.91513888888889,15.291753472222222,14.139930555555555,12.313732638888888
109,00:00:03.637,13.730185185185185,15.186961805555555,13.792083333333334,12.211510416666666
110,00:00:03.670,13.878628472222223,15.313663194444445,13.966267361111111,12.355954861111112
111,00:00:03.704,13.980868055555556,15.346684027777778,14.043472222222222,12.552447916666667
112,00:00:03.737,14.245792824074075,15.603524305555556,14.191440972222223,12.942413194444445
113,00:00:03.770,13.979785879629631,15.319704861111111,13.9890625,12.630590277777777
114,00:00:03.804,13.929571759259261,15.294618055555556,13.890017361111111,12.604079861111112
115,00:00:03.837,13.429346064814816,14.85546875,13.248541666666666,12.184027777777779
116,00:00:03.871,12.881556712962963,14.276944444444444,12.678315972222222,11.689409722222223
117,00:00:03.904,12.05256365740741,12.95859375,12.073315972222222,11.12578125
118,00:00:03.937,11.569583333333332,12.637586805555555,11.478003472222222,10.593159722222222
119,00:00:03.971,11.027893518518518,12.05298611111111,10.907760416666667,10.122934027777777
120,00:00:04.004,10.656273148148147,11.528315972222222,10.65064236111111,9.789861111111112
121,00:00:04.037,10.399895833333334,11.461267361111112,10.226666666666667,9.511753472222223
122,00:00:04.071,9.944305555555555,10.667621527777778,9.945885416666666,9.219409722222222
123,00:00:04.104,9.639774305555555,10.409548611111111,9.68529513888889,8.824479166666666
124,00:00:04.137,9.736105324074074,10.782760416666667,9.571770833333334,8.853784722222223
125,00:00:04.171,9.622789351851852,10.440017361111112,9.715086805555556,8.71326388888889
126,00:00:04.204,9.300636574074074,10.196284722222222,9.32032986111111,8.385295138888889
127,00:00:04.238,9.652054398148147,11.12529513888889,9.294774305555556,8.53609375
128,00:00:04.271,8.895127314814816,9.905833333333334,8.759461805555556,8.020086805555556
129,00:00:04.304,8.744456018518518,9.838385416666666,8.55263888888889,7.84234375
130,00:00:04.338,8.864907407407408,10.29421875,8.456371527777778,7.844131944444444
131,00:00:04.371,8.42667824074074,9.459479166666666,8.313506944444445,7.507048611111111
132,00:00:04.404,8.276967592592593,9.314045138888888,8.05482638888889,7.46203125
133,00:00:04.438,8.640324074074073,9.9734375,8.233975694444444,7.7135590277777775
134,00:00:04.471,8.050567129629629,8.891006944444445,7.9511111111111115,7.309583333333333
135,00:00:04.505,8.508229166666666,9.489357638888889,8.341440972222221,7.693888888888889
136,00:00:04.538,11.110520833333332,12.882482638888888,10.715885416666667,9.733194444444445
137,00:00:04.571,11.41691550925926,12.774878472222222,11.467777777777778,10.008090277777777
138,00:00:04.605,11.443055555555555,13.062881944444445,11.327777777777778,9.938506944444445
139,00:00:04.638,11.228842592592592,13.146788194444444,10.826614583333333,9.713125
140,00:00:04.671,10.715775462962965,12.270920138888888,10.5765625,9.29984375
141,00:00:04.705,10.709594907407407,12.27578125,10.552152777777778,9.300850694444444
142,00:00:04.738,10.534809027777778,12.311597222222222,10.16640625,9.126423611111111
143,00:00:04.771,9.848940972222222,11.35548611111111,9.723263888888889,8.468072916666667
144,00:00:04.805,9.717644675925925,11.270260416666666,9.435625,8.44704861111111
145,00:00:04.838,8.508634259259258,9.920190972222223,8.129479166666666,7.476232638888889
146,00:00:04.872,8.052222222222222,9.210555555555555,7.649496527777778,7.296614583333334
147,00:00:04.905,7.218917824074075,8.419583333333334,6.794913194444445,6.442256944444445
148,00:00:04.938,7.361383101851852,8.734184027777777,6.710052083333333,6.6399131944444445
149,00:00:04.972,7.313877314814815,8.460260416666667,6.864618055555556,6.616753472222222
150,00:00:05.005,7.428425925925926,8.850833333333334,6.789097222222222,6.645347222222222
151,00:00:05.038,7.027563657407408,8.178385416666666,6.565486111111111,6.338819444444445
152,00:00:05.072,7.134496527777777,8.507743055555556,6.554791666666667,6.340954861111111
153,00:00:05.105,6.954849537037037,8.236336805555556,6.467204861111111,6.161006944444445
154,00:00:05.138,7.062696759259258,8.346041666666666,6.439739583333333,6.402309027777778
155,00:00:05.172,6.701660879629631,7.877100694444445,6.2347222222222225,5.993159722222222
