Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
87,00:02.9,2.394287109,2.837700738,1.494032118,2.851128472
88,00:02.9,3.278636791,3.864257813,1.660942925,4.310709635
89,00:03.0,1.366871021,1.194363064,1.010769314,1.895480686
90,00:03.0,2.182852286,2.628634983,1.178005642,2.741916233
91,00:03.0,1.646674262,1.849962023,1.090820313,1.999240451
92,00:03.1,1.826081453,1.809244792,1.174587674,2.494411892
93,00:03.1,1.282127098,1.08219401,0.986897786,1.777289497
94,00:03.1,1.5418023,1.67561849,0.969401042,1.98038737
95,00:03.2,1.574390553,1.794325087,0.864095052,2.064751519
96,00:03.2,2.081967954,2.260335286,1.031792535,2.953776042
97,00:03.2,1.016140408,0.989312066,0.70429145,1.354817708
98,00:03.3,1.841941551,2.041097005,0.988796658,2.49593099
99,00:03.3,1.480541088,1.556043837,0.910970052,1.974609375
100,00:03.3,1.719337746,1.818088108,1.004801432,2.335123698
101,00:03.4,1.336172598,1.19780816,0.924045139,1.886664497
102,00:03.4,1.384819878,1.350477431,0.863633898,1.940348307
103,00:03.4,1.66434281,1.698079427,1.064697266,2.230251736
104,00:03.5,2.941153067,3.596055773,1.359754774,3.867648655
105,00:03.5,0.997522425,0.784857856,0.765842014,1.441867405
106,00:03.5,1.528736256,1.527777778,0.991861979,2.06656901
107,00:03.6,2.78656684,2.905409071,1.336615668,4.117675781
108,00:03.6,1.396855107,1.062011719,1.015679253,2.112874349
109,00:03.6,2.263292101,2.393581814,1.185384115,3.210910373
110,00:03.7,1.309968171,1.250759549,0.826551649,1.852593316
111,00:03.7,1.598108362,1.43766276,0.96742079,2.389241536
112,00:03.7,2.617684823,2.817165799,1.257921007,3.777967665
113,00:03.8,1.313774957,1.03664822,0.974934896,1.929741753
114,00:03.8,2.443440755,2.473280165,1.242160373,3.614881727
115,00:03.8,1.681929977,1.479437934,1.07945421,2.486897786
116,00:03.9,1.683620877,1.419514974,1.17320421,2.458143446
117,00:03.9,2.806957104,2.902967665,1.480712891,4.037190755
118,00:03.9,1.322066696,0.874376085,1.118164063,1.973659939
119,00:04.0,1.834563079,1.668294271,1.219373915,2.61602105
120,00:04.0,2.399251302,2.39594184,1.285834418,3.515977648
121,00:04.0,0.916883681,0.559353299,0.819281684,1.372016059
122,00:04.1,1.504276982,1.214545356,0.970703125,2.327582465
123,00:04.1,1.10075774,0.87741428,0.715142144,1.709716797
124,00:04.1,1.159261068,1.099717882,0.696940104,1.681125217
125,00:04.2,1.583432798,1.521837023,0.830512153,2.397949219
126,00:04.2,0.953703704,0.768988715,0.66531033,1.426812066
127,00:04.2,0.955268012,0.809271918,0.622612847,1.433919271
128,00:04.3,1.75495515,1.776448568,0.853000217,2.635416667
129,00:04.3,0.599962023,0.420355903,0.501573351,0.877956814
130,00:04.3,1.804235388,1.925455729,0.804090712,2.683159722
131,00:04.4,1.619999638,1.415771484,0.928059896,2.516167535
132,00:04.4,1.287579572,0.975884332,1.010877821,1.875976563
133,00:04.4,1.474500868,1.129557292,1.116048177,2.177897135
134,00:04.5,1.561062283,1.140380859,1.176161024,2.366644965
135,00:04.5,1.806577329,1.401204427,1.301866319,2.716661241
136,00:04.5,2.849030671,2.601236979,1.497911241,4.447943793
137,00:04.6,7.661187066,6.737223307,3.135660807,13.11067708
138,00:04.6,8.61593967,7.622314453,3.446940104,14.77856445
139,00:04.6,2.160915799,1.89436849,1.336697049,3.251681858
140,00:04.7,2.406539352,2.280924479,1.460611979,3.478081597
141,00:04.7,2.054371021,1.854654948,1.306206597,3.002251519
142,00:04.7,2.174958406,2.128282335,1.296875,3.099717882
143,00:04.8,1.958912037,1.696397569,1.313802083,2.866536458
144,00:04.8,2.727566189,2.79288737,1.409722222,3.980088976
145,00:04.8,1.495958116,1.33468967,0.944471571,2.208713108
146,00:04.9,2.374801071,2.512749566,1.341634115,3.270019531
147,00:04.9,2.315927011,2.098307292,1.634195964,3.215277778
148,00:04.9,2.970648872,2.667426215,2.044894748,4.199625651
149,00:05.0,2.825520833,2.44938151,2.274739583,3.752441406
150,00:05.0,3.594048394,3.21750217,2.826904297,4.737738715
151,00:05.0,3.559832538,2.868218316,3.264241536,4.54703776
152,00:05.1,10.43731916,13.04538303,5.473225911,12.79334852
153,00:05.1,3.623770255,3.076497396,3.209011502,4.585801866
154,00:05.1,4.61319987,4.188205295,3.871392144,5.78000217
155,00:05.2,4.761809172,4.074083116,4.352105035,5.859239366
156,00:05.2,4.938078704,4.526719835,4.012478299,6.275037977
157,00:05.2,5.010923032,4.093478733,5.047444661,5.891845703
158,00:05.3,6.359420211,5.854627821,6.102566189,7.121066623
159,00:05.3,5.35103805,4.581136068,5.353678385,6.118299696
160,00:05.3,4.998887804,4.512288411,4.591932509,5.892442491
161,00:05.4,5.059651693,4.921603733,4.307237413,5.950113932
162,00:05.4,5.470287182,5.15890842,4.757432726,6.494520399
163,00:05.4,6.24504485,5.55211046,6.407823351,6.775200738
164,00:05.5,7.196786386,6.474663628,6.666612413,8.449083116
165,00:05.5,4.57518627,3.800808377,4.224121094,5.70062934
166,00:05.5,5.063973886,4.474338108,4.272867839,6.444715712
167,00:05.6,5.061197917,4.071967231,4.864393446,6.247233073
168,00:05.6,5.642207393,4.788764106,4.967963325,7.169894748
169,00:05.6,4.574969256,3.893229167,3.945556641,5.886121962
170,00:05.7,6.359040437,5.885742188,5.41921658,7.772162543
171,00:05.7,4.7177011,3.939317491,3.953613281,6.260172526
172,00:05.7,6.27218967,5.890950521,5.286458333,7.639160156
173,00:05.8,4.544985171,3.389973958,4.084092882,6.160888672
174,00:05.8,4.909134476,4.505126953,3.785834418,6.436442057
175,00:05.8,5.408257378,4.810845269,4.447618273,6.966308594
176,00:05.9,6.191342954,5.477294922,5.381184896,7.715549045
177,00:05.9,5.321334274,4.297173394,4.950168186,6.716661241
178,00:05.9,5.123923973,4.330457899,4.330268012,6.711046007
179,00:06.0,4.515561704,3.547471788,3.9972602,6.001953125
180,00:06.0,5.818766276,5.391303168,5.071397569,6.99359809
181,00:06.0,5.172905816,4.2785102,4.884250217,6.355957031
182,00:06.1,18.5519477,17.29657661,10.3156467,28.04361979
183,00:06.1,18.53343822,17.13647461,10.6167806,27.84705946
184,00:06.1,5.885796441,5.815890842,4.525227865,7.316270616
185,00:06.2,5.119330512,4.552001953,4.532226563,6.273763021
186,00:06.2,5.590684679,4.92719184,4.785101997,7.0597602
187,00:06.2,4.22861509,3.514702691,3.700086806,5.471055773
188,00:06.3,5.650435836,5.394883898,4.368950738,7.187472873
189,00:06.3,6.887830946,6.249430339,5.800645616,8.613416884
