Timecode List:,00:00:11.845,00:00:12.579,00:00:13.247,00:00:15.616,00:00:17.818,00:00:21.321,00:00:21.922,00:00:23.891,00:00:24.992,00:00:27.895,00:00:32.199,00:00:36.270,00:00:37.137,00:00:37.971,00:00:40.607,00:00:43.176,00:00:43.911,00:00:44.678,00:00:48.048,00:00:49.650,00:00:51.251,00:00:52.252,00:00:54.454,00:00:56.657,00:00:58.325,00:01:00.027,00:01:02.663,00:01:07.634,00:01:11.738,00:01:13.040,00:01:15.943,00:01:19.246,00:01:21.982,00:01:24.651,00:01:28.422,00:01:29.856,00:01:30.991,00:01:36.029,00:01:39.900,00:01:41.335,00:01:42.336,00:01:48.041,00:01:50.477,00:01:51.044,00:01:52.212,00:01:53.046,00:01:53.914,00:01:57.951,00:01:59.686,00:02:00.520,00:02:12.432,00:02:14.601,00:02:17.537,00:02:25.512,00:02:26.446,00:02:40.894,00:02:41.828,00:02:43.030,00:02:45.932,00:02:51.905,00:02:57.210,00:02:59.780,00:03:02.716,00:03:05.152,00:03:05.852,00:03:06.887,00:03:07.754,00:03:08.555,00:03:09.456,00:03:10.357,00:03:18.065,00:03:23.770,00:03:32.245,00:03:35.615,00:03:38.185,00:03:40.287,00:03:45.025,00:03:48.762,00:03:49.329,00:03:53.133,00:03:54.067,00:03:55.769,00:04:00.740,00:04:02.709,00:04:05.679,00:04:06.746,00:04:08.181,00:04:09.916,00:04:13.620,00:04:18.091,00:04:19.559,00:04:20.727,00:04:21.528,00:04:22.362,00:04:23.296,00:04:24.097,00:04:27.801,00:04:32.672,00:04:33.473,00:04:34.141,00:04:38.512,00:04:42.883,00:04:44.384,00:04:46.119
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
51,3612,00:02:00.520,120.520,3969,00:02:12.432,132.432,357,00:00:11.912,11.912
52,3969,00:02:12.432,132.432,4034,00:02:14.601,134.601,65,00:00:02.169,2.169
53,4034,00:02:14.601,134.601,4122,00:02:17.537,137.537,88,00:00:02.936,2.936
54,4122,00:02:17.537,137.537,4361,00:02:25.512,145.512,239,00:00:07.975,7.975
55,4361,00:02:25.512,145.512,4389,00:02:26.446,146.446,28,00:00:00.934,0.934
56,4389,00:02:26.446,146.446,4822,00:02:40.894,160.894,433,00:00:14.448,14.448
57,4822,00:02:40.894,160.894,4850,00:02:41.828,161.828,28,00:00:00.934,0.934
58,4850,00:02:41.828,161.828,4886,00:02:43.030,163.030,36,00:00:01.201,1.201
59,4886,00:02:43.030,163.030,4973,00:02:45.932,165.932,87,00:00:02.903,2.903
60,4973,00:02:45.932,165.932,5152,00:02:51.905,171.905,179,00:00:05.973,5.973
61,5152,00:02:51.905,171.905,5311,00:02:57.210,177.210,159,00:00:05.305,5.305
62,5311,00:02:57.210,177.210,5388,00:02:59.780,179.780,77,00:00:02.569,2.569
63,5388,00:02:59.780,179.780,5476,00:03:02.716,182.716,88,00:00:02.936,2.936
64,5476,00:03:02.716,182.716,5549,00:03:05.152,185.152,73,00:00:02.436,2.436
65,5549,00:03:05.152,185.152,5570,00:03:05.852,185.852,21,00:00:00.701,0.701
66,5570,00:03:05.852,185.852,5601,00:03:06.887,186.887,31,00:00:01.034,1.034
67,5601,00:03:06.887,186.887,5627,00:03:07.754,187.754,26,00:00:00.868,0.868
68,5627,00:03:07.754,187.754,5651,00:03:08.555,188.555,24,00:00:00.801,0.801
69,5651,00:03:08.555,188.555,5678,00:03:09.456,189.456,27,00:00:00.901,0.901
70,5678,00:03:09.456,189.456,5705,00:03:10.357,190.357,27,00:00:00.901,0.901
71,5705,00:03:10.357,190.357,5936,00:03:18.065,198.065,231,00:00:07.708,7.708
72,5936,00:03:18.065,198.065,6107,00:03:23.770,203.770,171,00:00:05.706,5.706
73,6107,00:03:23.770,203.770,6361,00:03:32.245,212.245,254,00:00:08.475,8.475
74,6361,00:03:32.245,212.245,6462,00:03:35.615,215.615,101,00:00:03.370,3.370
75,6462,00:03:35.615,215.615,6539,00:03:38.185,218.185,77,00:00:02.569,2.569
76,6539,00:03:38.185,218.185,6602,00:03:40.287,220.287,63,00:00:02.102,2.102
77,6602,00:03:40.287,220.287,6744,00:03:45.025,225.025,142,00:00:04.738,4.738
78,6744,00:03:45.025,225.025,6856,00:03:48.762,228.762,112,00:00:03.737,3.737
79,6856,00:03:48.762,228.762,6873,00:03:49.329,229.329,17,00:00:00.567,0.567
80,6873,00:03:49.329,229.329,6987,00:03:53.133,233.133,114,00:00:03.804,3.804
81,6987,00:03:53.133,233.133,7015,00:03:54.067,234.067,28,00:00:00.934,0.934
82,7015,00:03:54.067,234.067,7066,00:03:55.769,235.769,51,00:00:01.702,1.702
83,7066,00:03:55.769,235.769,7215,00:04:00.740,240.740,149,00:00:04.972,4.972
84,7215,00:04:00.740,240.740,7274,00:04:02.709,242.709,59,00:00:01.969,1.969
85,7274,00:04:02.709,242.709,7363,00:04:05.679,245.679,89,00:00:02.970,2.970
86,7363,00:04:05.679,245.679,7395,00:04:06.746,246.746,32,00:00:01.068,1.068
87,7395,00:04:06.746,246.746,7438,00:04:08.181,248.181,43,00:00:01.435,1.435
88,7438,00:04:08.181,248.181,7490,00:04:09.916,249.916,52,00:00:01.735,1.735
89,7490,00:04:09.916,249.916,7601,00:04:13.620,253.620,111,00:00:03.704,3.704
90,7601,00:04:13.620,253.620,7735,00:04:18.091,258.091,134,00:00:04.471,4.471
91,7735,00:04:18.091,258.091,7779,00:04:19.559,259.559,44,00:00:01.468,1.468
92,7779,00:04:19.559,259.559,7814,00:04:20.727,260.727,35,00:00:01.168,1.168
93,7814,00:04:20.727,260.727,7838,00:04:21.528,261.528,24,00:00:00.801,0.801
94,7838,00:04:21.528,261.528,7863,00:04:22.362,262.362,25,00:00:00.834,0.834
